id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,rating
747793627980294129,Villa in Vancouver · 4 bedrooms · 4 beds · 3 baths,483338004,Ivana,,Shaughnessy,49.234800616318026,-123.14031603745772,private room,,1,0,,,1,0,0,22-216672,4.799709437963944
747829628631559482,Rental unit in Vancouver · 2 bedrooms · 2 beds · 1.5 baths,238308886,Terry,,West End,49.27753,-123.13516,entire home/apt,170.0,30,1,2023-11-01,0.68,37,269,1,,4.799709437963944
748524351823698628,Loft in Vancouver · ★4.31 · 1 bedroom · 2 beds · 1 bath,349804247,El,,Downtown,49.279211726687706,-123.12148030847312,entire home/apt,112.0,1,71,2023-11-25,5.26,43,125,64,23-158613,4.31
748541866716038275,Guest suite in Vancouver · ★4.72 · 2 bedrooms · 2 beds · 1.5 baths,471379195,Van,,Victoria-Fraserview,49.21289,-123.06021,entire home/apt,130.0,2,18,2023-10-03,1.94,2,89,18,23-158344,4.72
748601805740298369,Home in Vancouver · 3 bedrooms · 3 beds · 2 baths,51284092,Peter,,Riley Park,49.24825,-123.09672,entire home/apt,160.0,5,0,,,1,82,0,22-157887,4.799709437963944
748993882666940231,Condo in Vancouver · ★4.77 · 1 bedroom · 3 beds · 1 bath,286934561,Tim,,Downtown,49.28045,-123.11069,entire home/apt,271.0,3,65,2023-10-28,4.81,1,31,57,23-158184,4.77
749164389494033357,Rental unit in Vancouver · 1 bedroom · 2 beds · 1 bath,37507194,Sid,,Fairview,49.27013,-123.13507,entire home/apt,385.0,30,0,,,1,364,0,,4.799709437963944
749265621049306621,Condo in Vancouver · ★5.0 · 2 bedrooms · 2 beds · 2.5 baths,485684865,Daniel,,Downtown,49.27735,-123.12876,entire home/apt,200.0,30,3,2023-10-01,0.59,1,159,3,,5.0
749294924923342764,Guest suite in Vancouver · ★4.67 · 1 bedroom · 1 bed · 1 bath,484336060,Ryan,,Hastings-Sunrise,49.2849837,-123.0275133,entire home/apt,85.0,30,3,2023-09-17,0.31,1,218,3,,4.67
749336129773107325,Condo in Vancouver · 2 bedrooms · 3 beds · 2 baths,74806205,Adam,,Downtown,49.28983,-123.11723,entire home/apt,2000.0,2,0,,,30,364,0,20-108648,4.799709437963944
